id,name,parentId,tag,description (ukr),primary_image
506,Добрива та стимулятори,400,,Добрива та стимулятори,c506.jpg
511,Молюскоциди,400,,Молюскоциди,c511.jpg
512,Насіння,400,,Насіння,c512.jpg
507,Обробка саду,400,,Обробка саду,c507.jpg
505,Прилипачі,400,,Прилипачі,c505.jpg
509,Проти побутових комах,400,,Проти побутових комах,c509.jpg
503,Протруйники,400,,Протруйники,c503.jpg
510,Родентициди,400,,Родентициди,c510.jpg
502,Фунгіциди,400,,Фунгіциди,c502.jpg
508,Цибуля саджанка,400,,Цибуля саджанка,c508.jpg
