category,group_id,group,tag_id,key,ua,ru
100,yield,Yield,uniform_ripening,uniform_ripening,Дружнє дозрівання,Дружное созревание
110,color,Color,black,black,Чорний,Чёрный
110,color,Color,orange,orange,Оранжевий,Оранжевый
110,color,Color,red,red,Червоний,Красный
110,color,Color,yellow,yellow,Жовтий,Жёлтый
110,cultivation,Cultivation,bee_pollinated,bee_pollinated,Бджолозапилюваний,Пчелоопыляемый
110,cultivation,Cultivation,greenhouse,greenhouse,Теплиця/укриття,Теплица/укрытия
110,cultivation,Cultivation,open_field,open_field,Відкритий ґрунт,Открытый грунт
110,cultivation,Cultivation,parthenocarpic,parthenocarpic,Партенокарпічний,Партенокарпический
110,growth,Growth,compact,compact,Компактний,Компактный
110,growth,Growth,determinate,determinate,Детермінантний,Детерминантный
110,growth,Growth,tall,tall,Високорослий,Высокорослый
110,maturity,Maturity,early,early,Ранній,Ранний
110,maturity,Maturity,early_maturing,early_maturing,Ранньостиглий,Раннеспелый
110,maturity,Maturity,late,late,Пізній,Поздний
110,maturity,Maturity,mid_early,mid_early,Середньоранній,Среднеранний
110,maturity,Maturity,mid_late,mid_late,Середньопізній,Среднепоздний
110,maturity,Maturity,mid_maturing,mid_maturing,Середньостиглий,Среднеспелый
110,resistance,Resistance,disease_resistant,disease_resistant,Стійкий до хвороб,Устойчив к болезням
110,resistance,Resistance,drought_tolerant,drought_tolerant,Посухостійкий,Засухоустойчивый
110,resistance,Resistance,powdery_mildew,powdery_mildew,Мучниста роса,Мучнистая роса
110,resistance,Resistance,shade_tolerant,shade_tolerant,Тіньовитривалий,Теневыносливый
110,shape,Shape,cylindrical,cylindrical,Циліндричний,Цилиндрический
110,shape,Shape,elongated,elongated,Подовжений,Удлинённый
110,shape,Shape,oval,oval,Овальний,Овальный
110,shape,Shape,round,round,Округлий,Округлый
110,texture,Texture,crunchy,crunchy,Хрусткий,Хрустящий
110,texture,Texture,firm,firm,Щільний,Плотный
110,texture,Texture,juicy,juicy,Соковитий,Сочный
110,texture,Texture,keeping,keeping,Лежкий,Лёжкий
110,texture,Texture,transportable,transportable,Транспортабельний,Транспортабельный
110,traits,Traits,long_storage,long_storage,Довге зберігання,Долгое хранение
110,traits,Traits,marketable,marketable,Товарний вигляд,Товарный вид
110,traits,Traits,thin_skin,thin_skin,Тонка шкірка,Тонкая кожура
110,usage,Usage,canning,canning,Консервування,Консервирование
110,usage,Usage,fresh,fresh,Свіже споживання,Свежее потребление
110,usage,Usage,juice,juice,Сік,Сок
110,usage,Usage,pickling,pickling,Засолювання,Засолка
110,usage,Usage,salad,salad,Салатний,Салатный
110,usage,Usage,universal,universal,Універсальний,Универсальный
110,yield,Yield,high_yield,high_yield,Високоврожайний,Высокоурожайный
110,yield,Yield,uniform_ripening,uniform_ripening,Дружнє дозрівання,Дружное созревание
120,color,Color,black,black,Чорний,Чёрный
120,color,Color,raspberry,raspberry,Малиновий,Малиновый
120,color,Color,red,red,Червоний,Красный
120,cultivation,Cultivation,greenhouse,greenhouse,Теплиця/укриття,Теплица/укрытия
120,cultivation,Cultivation,open_field,open_field,Відкритий ґрунт,Открытый грунт
120,maturity,Maturity,early,early,Ранній,Ранний
120,maturity,Maturity,early_maturing,early_maturing,Ранньостиглий,Раннеспелый
120,maturity,Maturity,late,late,Пізній,Поздний
120,maturity,Maturity,mid_early,mid_early,Середньоранній,Среднеранний
120,maturity,Maturity,mid_late,mid_late,Середньопізній,Среднепоздний
120,maturity,Maturity,mid_maturing,mid_maturing,Середньостиглий,Среднеспелый
120,resistance,Resistance,cold_tolerant,cold_tolerant,Холодостійкий,Холодостойкий
120,resistance,Resistance,disease_resistant,disease_resistant,Стійкий до хвороб,Устойчив к болезням
120,shape,Shape,cylindrical,cylindrical,Циліндричний,Цилиндрический
120,shape,Shape,elongated,elongated,Подовжений,Удлинённый
120,shape,Shape,flat_round,flat_round,Плоскоокруглий,Плоскоокруглый
120,shape,Shape,oval,oval,Овальний,Овальный
120,shape,Shape,round,round,Округлий,Округлый
120,texture,Texture,firm,firm,Щільний,Плотный
120,texture,Texture,juicy,juicy,Соковитий,Сочный
120,texture,Texture,keeping,keeping,Лежкий,Лёжкий
120,texture,Texture,meaty,meaty,М'ясистий,Мясистый
120,texture,Texture,sweet,sweet,Солодкий,Сладкий
120,traits,Traits,marketable,marketable,Товарний вигляд,Товарный вид
120,usage,Usage,canning,canning,Консервування,Консервирование
120,usage,Usage,fresh,fresh,Свіже споживання,Свежее потребление
120,usage,Usage,juice,juice,Сік,Сок
120,usage,Usage,universal,universal,Універсальний,Универсальный
120,yield,Yield,high_yield,high_yield,Високоврожайний,Высокоурожайный
130,color,Color,pink,pink,Рожевий,Розовый
130,color,Color,raspberry,raspberry,Малиновий,Малиновый
130,color,Color,red,red,Червоний,Красный
130,color,Color,yellow,yellow,Жовтий,Жёлтый
130,cultivation,Cultivation,greenhouse,greenhouse,Теплиця/укриття,Теплица/укрытия
130,cultivation,Cultivation,needs_trellis,needs_trellis,Потребує підв'язки,Требует подвязки
130,cultivation,Cultivation,open_field,open_field,Відкритий ґрунт,Открытый грунт
130,growth,Growth,compact,compact,Компактний,Компактный
130,growth,Growth,short,short,Низькорослий,Низкорослый
130,growth,Growth,sprawling,sprawling,Розлогий,Раскидистый
130,growth,Growth,tall,tall,Високорослий,Высокорослый
130,maturity,Maturity,early,early,Ранній,Ранний
130,maturity,Maturity,early_maturing,early_maturing,Ранньостиглий,Раннеспелый
130,maturity,Maturity,mid_early,mid_early,Середньоранній,Среднеранний
130,maturity,Maturity,mid_maturing,mid_maturing,Середньостиглий,Среднеспелый
130,resistance,Resistance,cold_tolerant,cold_tolerant,Холодостійкий,Холодостойкий
130,resistance,Resistance,disease_resistant,disease_resistant,Стійкий до хвороб,Устойчив к болезням
130,resistance,Resistance,drought_tolerant,drought_tolerant,Посухостійкий,Засухоустойчивый
130,shape,Shape,cylindrical,cylindrical,Циліндричний,Цилиндрический
130,shape,Shape,elongated,elongated,Подовжений,Удлинённый
130,shape,Shape,flat_round,flat_round,Плоскоокруглий,Плоскоокруглый
130,shape,Shape,oval,oval,Овальний,Овальный
130,shape,Shape,round,round,Округлий,Округлый
130,texture,Texture,firm,firm,Щільний,Плотный
130,texture,Texture,juicy,juicy,Соковитий,Сочный
130,texture,Texture,meaty,meaty,М'ясистий,Мясистый
130,texture,Texture,sweet,sweet,Солодкий,Сладкий
130,usage,Usage,juice,juice,Сік,Сок
130,usage,Usage,universal,universal,Універсальний,Универсальный
130,yield,Yield,high_yield,high_yield,Високоврожайний,Высокоурожайный
140,color,Color,black,black,Чорний,Чёрный
140,color,Color,brown,brown,Коричневий,Коричневый
140,color,Color,pink,pink,Рожевий,Розовый
140,color,Color,red,red,Червоний,Красный
140,color,Color,yellow,yellow,Жовтий,Жёлтый
140,cultivation,Cultivation,greenhouse,greenhouse,Теплиця/укриття,Теплица/укрытия
140,cultivation,Cultivation,open_field,open_field,Відкритий ґрунт,Открытый грунт
140,growth,Growth,compact,compact,Компактний,Компактный
140,growth,Growth,tall,tall,Високорослий,Высокорослый
140,maturity,Maturity,early,early,Ранній,Ранний
140,maturity,Maturity,early_maturing,early_maturing,Ранньостиглий,Раннеспелый
140,maturity,Maturity,mid_early,mid_early,Середньоранній,Среднеранний
140,maturity,Maturity,mid_maturing,mid_maturing,Середньостиглий,Среднеспелый
140,resistance,Resistance,disease_resistant,disease_resistant,Стійкий до хвороб,Устойчив к болезням
140,resistance,Resistance,powdery_mildew,powdery_mildew,Мучниста роса,Мучнистая роса
140,shape,Shape,cylindrical,cylindrical,Циліндричний,Цилиндрический
140,shape,Shape,elongated,elongated,Подовжений,Удлинённый
140,shape,Shape,flat_round,flat_round,Плоскоокруглий,Плоскоокруглый
140,shape,Shape,oval,oval,Овальний,Овальный
140,shape,Shape,pear,pear,Грушоподібний,Грушевидный
140,shape,Shape,round,round,Округлий,Округлый
140,texture,Texture,firm,firm,Щільний,Плотный
140,texture,Texture,juicy,juicy,Соковитий,Сочный
140,texture,Texture,keeping,keeping,Лежкий,Лёжкий
140,texture,Texture,transportable,transportable,Транспортабельний,Транспортабельный
140,usage,Usage,fresh,fresh,Свіже споживання,Свежее потребление
140,usage,Usage,juice,juice,Сік,Сок
140,usage,Usage,salad,salad,Салатний,Салатный
140,usage,Usage,universal,universal,Універсальний,Универсальный
140,yield,Yield,high_yield,high_yield,Високоврожайний,Высокоурожайный
150,color,Color,black,black,Чорний,Чёрный
150,color,Color,yellow,yellow,Жовтий,Жёлтый
150,maturity,Maturity,early_maturing,early_maturing,Ранньостиглий,Раннеспелый
150,shape,Shape,round,round,Округлий,Округлый
150,texture,Texture,firm,firm,Щільний,Плотный
150,texture,Texture,juicy,juicy,Соковитий,Сочный
150,texture,Texture,keeping,keeping,Лежкий,Лёжкий
150,texture,Texture,sweet,sweet,Солодкий,Сладкий
150,traits,Traits,marketable,marketable,Товарний вигляд,Товарный вид
150,usage,Usage,juice,juice,Сік,Сок
150,yield,Yield,high_yield,high_yield,Високоврожайний,Высокоурожайный
160,color,Color,orange,orange,Оранжевий,Оранжевый
160,color,Color,red,red,Червоний,Красный
160,maturity,Maturity,early,early,Ранній,Ранний
160,maturity,Maturity,early_maturing,early_maturing,Ранньостиглий,Раннеспелый
160,maturity,Maturity,mid_early,mid_early,Середньоранній,Среднеранний
160,maturity,Maturity,mid_late,mid_late,Середньопізній,Среднепоздний
160,maturity,Maturity,mid_maturing,mid_maturing,Середньостиглий,Среднеспелый
160,shape,Shape,cylindrical,cylindrical,Циліндричний,Цилиндрический
160,shape,Shape,elongated,elongated,Подовжений,Удлинённый
160,shape,Shape,round,round,Округлий,Округлый
160,texture,Texture,juicy,juicy,Соковитий,Сочный
160,texture,Texture,keeping,keeping,Лежкий,Лёжкий
160,texture,Texture,sweet,sweet,Солодкий,Сладкий
160,usage,Usage,canning,canning,Консервування,Консервирование
160,usage,Usage,fresh,fresh,Свіже споживання,Свежее потребление
160,usage,Usage,juice,juice,Сік,Сок
160,yield,Yield,high_yield,high_yield,Високоврожайний,Высокоурожайный
170,color,Color,red,red,Червоний,Красный
170,maturity,Maturity,early_maturing,early_maturing,Ранньостиглий,Раннеспелый
170,maturity,Maturity,mid_early,mid_early,Середньоранній,Среднеранний
170,maturity,Maturity,mid_late,mid_late,Середньопізній,Среднепоздний
170,maturity,Maturity,mid_maturing,mid_maturing,Середньостиглий,Среднеспелый
170,resistance,Resistance,disease_resistant,disease_resistant,Стійкий до хвороб,Устойчив к болезням
170,resistance,Resistance,drought_tolerant,drought_tolerant,Посухостійкий,Засухоустойчивый
170,shape,Shape,cylindrical,cylindrical,Циліндричний,Цилиндрический
170,shape,Shape,round,round,Округлий,Округлый
170,texture,Texture,juicy,juicy,Соковитий,Сочный
170,texture,Texture,keeping,keeping,Лежкий,Лёжкий
170,texture,Texture,sweet,sweet,Солодкий,Сладкий
170,texture,Texture,transportable,transportable,Транспортабельний,Транспортабельный
170,usage,Usage,canning,canning,Консервування,Консервирование
170,usage,Usage,fresh,fresh,Свіже споживання,Свежее потребление
170,usage,Usage,juice,juice,Сік,Сок
170,yield,Yield,high_yield,high_yield,Високоврожайний,Высокоурожайный
180,color,Color,black,black,Чорний,Чёрный
180,color,Color,brown,brown,Коричневий,Коричневый
180,color,Color,orange,orange,Оранжевий,Оранжевый
180,color,Color,pink,pink,Рожевий,Розовый
180,color,Color,raspberry,raspberry,Малиновий,Малиновый
180,color,Color,red,red,Червоний,Красный
180,color,Color,yellow,yellow,Жовтий,Жёлтый
180,cultivation,Cultivation,greenhouse,greenhouse,Теплиця/укриття,Теплица/укрытия
180,cultivation,Cultivation,open_field,open_field,Відкритий ґрунт,Открытый грунт
180,maturity,Maturity,early,early,Ранній,Ранний
180,maturity,Maturity,early_maturing,early_maturing,Ранньостиглий,Раннеспелый
180,maturity,Maturity,mid_late,mid_late,Середньопізній,Среднепоздний
180,maturity,Maturity,mid_maturing,mid_maturing,Середньостиглий,Среднеспелый
180,resistance,Resistance,disease_resistant,disease_resistant,Стійкий до хвороб,Устойчив к болезням
180,resistance,Resistance,drought_tolerant,drought_tolerant,Посухостійкий,Засухоустойчивый
180,resistance,Resistance,fusarium,fusarium,Фузаріоз,Фузариоз
180,resistance,Resistance,powdery_mildew,powdery_mildew,Мучниста роса,Мучнистая роса
180,shape,Shape,cylindrical,cylindrical,Циліндричний,Цилиндрический
180,shape,Shape,elongated,elongated,Подовжений,Удлинённый
180,shape,Shape,oval,oval,Овальний,Овальный
180,shape,Shape,round,round,Округлий,Округлый
180,texture,Texture,crunchy,crunchy,Хрусткий,Хрустящий
180,texture,Texture,juicy,juicy,Соковитий,Сочный
180,texture,Texture,keeping,keeping,Лежкий,Лёжкий
180,texture,Texture,meaty,meaty,М'ясистий,Мясистый
180,texture,Texture,sweet,sweet,Солодкий,Сладкий
180,texture,Texture,transportable,transportable,Транспортабельний,Транспортабельный
180,traits,Traits,marketable,marketable,Товарний вигляд,Товарный вид
180,usage,Usage,fresh,fresh,Свіже споживання,Свежее потребление
180,usage,Usage,juice,juice,Сік,Сок
180,usage,Usage,salad,salad,Салатний,Салатный
180,yield,Yield,high_yield,high_yield,Високоврожайний,Высокоурожайный
190,color,Color,brown,brown,Коричневий,Коричневый
190,color,Color,orange,orange,Оранжевий,Оранжевый
190,color,Color,red,red,Червоний,Красный
190,color,Color,yellow,yellow,Жовтий,Жёлтый
190,cultivation,Cultivation,open_field,open_field,Відкритий ґрунт,Открытый грунт
190,growth,Growth,compact,compact,Компактний,Компактный
190,maturity,Maturity,early,early,Ранній,Ранний
190,maturity,Maturity,early_maturing,early_maturing,Ранньостиглий,Раннеспелый
190,maturity,Maturity,mid_early,mid_early,Середньоранній,Среднеранний
190,maturity,Maturity,mid_maturing,mid_maturing,Середньостиглий,Среднеспелый
190,resistance,Resistance,cold_tolerant,cold_tolerant,Холодостійкий,Холодостойкий
190,resistance,Resistance,drought_tolerant,drought_tolerant,Посухостійкий,Засухоустойчивый
190,resistance,Resistance,powdery_mildew,powdery_mildew,Мучниста роса,Мучнистая роса
190,shape,Shape,oval,oval,Овальний,Овальный
190,shape,Shape,round,round,Округлий,Округлый
190,texture,Texture,crunchy,crunchy,Хрусткий,Хрустящий
190,texture,Texture,firm,firm,Щільний,Плотный
190,texture,Texture,juicy,juicy,Соковитий,Сочный
190,texture,Texture,keeping,keeping,Лежкий,Лёжкий
190,texture,Texture,meaty,meaty,М'ясистий,Мясистый
190,texture,Texture,sweet,sweet,Солодкий,Сладкий
190,texture,Texture,transportable,transportable,Транспортабельний,Транспортабельный
190,traits,Traits,marketable,marketable,Товарний вигляд,Товарный вид
190,usage,Usage,fresh,fresh,Свіже споживання,Свежее потребление
190,usage,Usage,juice,juice,Сік,Сок
190,yield,Yield,high_yield,high_yield,Високоврожайний,Высокоурожайный
200,color,Color,black,black,Чорний,Чёрный
200,color,Color,orange,orange,Оранжевий,Оранжевый
200,color,Color,pink,pink,Рожевий,Розовый
200,color,Color,yellow,yellow,Жовтий,Жёлтый
200,cultivation,Cultivation,open_field,open_field,Відкритий ґрунт,Открытый грунт
200,growth,Growth,compact,compact,Компактний,Компактный
200,maturity,Maturity,early_maturing,early_maturing,Ранньостиглий,Раннеспелый
200,resistance,Resistance,cold_tolerant,cold_tolerant,Холодостійкий,Холодостойкий
200,resistance,Resistance,disease_resistant,disease_resistant,Стійкий до хвороб,Устойчив к болезням
200,shape,Shape,cylindrical,cylindrical,Циліндричний,Цилиндрический
200,shape,Shape,elongated,elongated,Подовжений,Удлинённый
200,shape,Shape,oval,oval,Овальний,Овальный
200,texture,Texture,crunchy,crunchy,Хрусткий,Хрустящий
200,texture,Texture,firm,firm,Щільний,Плотный
200,texture,Texture,juicy,juicy,Соковитий,Сочный
200,texture,Texture,keeping,keeping,Лежкий,Лёжкий
200,texture,Texture,sweet,sweet,Солодкий,Сладкий
200,texture,Texture,transportable,transportable,Транспортабельний,Транспортабельный
200,usage,Usage,juice,juice,Сік,Сок
200,yield,Yield,high_yield,high_yield,Високоврожайний,Высокоурожайный
200,yield,Yield,uniform_ripening,uniform_ripening,Дружнє дозрівання,Дружное созревание
210,color,Color,orange,orange,Оранжевий,Оранжевый
210,color,Color,pink,pink,Рожевий,Розовый
210,color,Color,yellow,yellow,Жовтий,Жёлтый
210,cultivation,Cultivation,open_field,open_field,Відкритий ґрунт,Открытый грунт
210,maturity,Maturity,early,early,Ранній,Ранний
210,maturity,Maturity,early_maturing,early_maturing,Ранньостиглий,Раннеспелый
210,maturity,Maturity,mid_maturing,mid_maturing,Середньостиглий,Среднеспелый
210,shape,Shape,cylindrical,cylindrical,Циліндричний,Цилиндрический
210,shape,Shape,round,round,Округлий,Округлый
210,texture,Texture,crunchy,crunchy,Хрусткий,Хрустящий
210,texture,Texture,firm,firm,Щільний,Плотный
210,texture,Texture,juicy,juicy,Соковитий,Сочный
210,texture,Texture,meaty,meaty,М'ясистий,Мясистый
210,usage,Usage,canning,canning,Консервування,Консервирование
210,usage,Usage,juice,juice,Сік,Сок
210,yield,Yield,high_yield,high_yield,Високоврожайний,Высокоурожайный
220,cultivation,Cultivation,greenhouse,greenhouse,Теплиця/укриття,Теплица/укрытия
220,cultivation,Cultivation,open_field,open_field,Відкритий ґрунт,Открытый грунт
220,growth,Growth,compact,compact,Компактний,Компактный
220,maturity,Maturity,early,early,Ранній,Ранний
220,maturity,Maturity,early_maturing,early_maturing,Ранньостиглий,Раннеспелый
220,maturity,Maturity,mid_maturing,mid_maturing,Середньостиглий,Среднеспелый
220,resistance,Resistance,cold_tolerant,cold_tolerant,Холодостійкий,Холодостойкий
220,shape,Shape,elongated,elongated,Подовжений,Удлинённый
220,shape,Shape,oval,oval,Овальний,Овальный
220,texture,Texture,crunchy,crunchy,Хрусткий,Хрустящий
220,texture,Texture,juicy,juicy,Соковитий,Сочный
220,texture,Texture,sweet,sweet,Солодкий,Сладкий
220,usage,Usage,fresh,fresh,Свіже споживання,Свежее потребление
220,usage,Usage,juice,juice,Сік,Сок
220,usage,Usage,salad,salad,Салатний,Салатный
220,yield,Yield,high_yield,high_yield,Високоврожайний,Высокоурожайный
230,growth,Growth,sprawling,sprawling,Розлогий,Раскидистый
230,usage,Usage,fresh,fresh,Свіже споживання,Свежее потребление
240,color,Color,yellow,yellow,Жовтий,Жёлтый
240,cultivation,Cultivation,open_field,open_field,Відкритий ґрунт,Открытый грунт
240,maturity,Maturity,early,early,Ранній,Ранний
240,maturity,Maturity,early_maturing,early_maturing,Ранньостиглий,Раннеспелый
240,resistance,Resistance,cold_tolerant,cold_tolerant,Холодостійкий,Холодостойкий
240,texture,Texture,juicy,juicy,Соковитий,Сочный
240,texture,Texture,sweet,sweet,Солодкий,Сладкий
240,usage,Usage,canning,canning,Консервування,Консервирование
240,usage,Usage,juice,juice,Сік,Сок
240,usage,Usage,paste,paste,Паста,Паста
240,usage,Usage,salad,salad,Салатний,Салатный
240,yield,Yield,high_yield,high_yield,Високоврожайний,Высокоурожайный
330,maturity,Maturity,mid_early,mid_early,Середньоранній,Среднеранний
330,shape,Shape,elongated,elongated,Подовжений,Удлинённый
330,shape,Shape,oval,oval,Овальний,Овальный
