id,Название (укр),Название (рус),Описание (укр),Описание (рус),image
52,шедевр Рудас,Шедевр Рудаса,Шедевр Рудас. Селекційний сорт з дуже довгим терміном зберігання до 4 місяців. Плоди середнього розміру з щільною шкіркою червоно-оранжевого кольору м'якоть має більш інтенсивне забарвлення. Сорт дуже урожайний.,Шедевр Рудаса.  Селекционный сорт с очень длинным сроком хранения до 4 месяцев. Плоды среднего размера с плотной кожурой красно-оранжевого цвета мякоть имеет более интенсивную окраску . Сорт очень урожайний.,
53,Господар,Господар,"Господар. Сорт виведений в Українському НДІ. Плоди великі, щільні, червоні смакові і товарні якості відмінні. Перспективний сорт для відкритого грунту так як стійкий до фітофторозу.","Господар. Сорт выведен в Украинском НИИ. Плоды крупные, плотные, красные вкусовые и товарные качества отличные. Перспективный сорт для открытого грунта  так как устойчив к фитофторозу.",
54,Господар,Господар,"Господар. Український сорт, детермінантного типу слабо облиственний. Плоди червоні великі відмінного смаку. Стійкий до грибкових захворювань.","Господар. Украинский сорт, детерминантного типа слабо облиственный. Плоды красные крупные  отличного вкуса. Устойчив к грибковым заболеваниям.",
55,дар Заволжя,Дар Заволжья ,"Дар Заволжя. Середньоранній сорт, терміном дозрівання 110-112 днів, кущ низький, компактний. Плоди червоні, круглі зі слабо вираженим кінчиком. Дружне дозрівання, висока транспортабельність відрізняють сорт. Споживання у свіжому вигляді, засолюванні, переробці на томати, пасти, соки. Сорт дуже продуктивний.","Дар Заволжья . Среднеранний сорт, сроком созревания 110-112 дней, куст низкий,  компактный. Плоды красные ,круглые со слабо выраженным  кончиком. Дружное созревание , высокая транспортабельность отличают сорт. Потребление в свежем виде , засолке, переработке на томаты,пасты , соки. Сорт очень продуктивен.",
56,Дар Заволжя рожевий,Дар Заволжья розовый,"Дар Заволжя рожевий. Середньоранній сорт, терміном дозрівання 110-112 днів, кущ низький, компактний, плоди рожеві, круглі зі слабо вираженим кінчиком, транспортабельні. Використовуються як в свіжому вигляді, так і в переробленому. Сорт дуже продуктивний.","Дар Заволжья розовый. Среднеранний сорт ,сроком  созревания 110-112 дней , куст низкий, компактный, плоды розовые,  круглые со слабо выраженным кончиком, транспортабельные. Используются как в свежем виде,  так и в переработанном. Сорт очень продуктивен.",
57,дар Заволжя,Дар Заволжья,"Дар Заволжя. Середньоранній сорт, терміни дозрівання 110-112 днів, кущ низький, компактний. Плоди круглі, червоні зі слабо вираженим кінчиком. Дружне дозрівання і висока транспортабельність відрізняють сорт. Вживається у свіжому вигляді і у всіх видах переробок. Сорт дуже продуктивний.","Дар Заволжья. Среднеранний сорт, сроки созревания 110-112 дней, куст низкий, компактный. Плоды круглые, красные со слабо выраженным кончиком. Дружное созревание и высокая транспортабельность отличают сорт. Употребляется в свежем виде и во всех видах переработок. Сорт очень продуктивен.",
58,Джина,Джина,"Середньостиглий дуже врожайний сорт рекомендується для вирощування у відкритому Рунте як розсадним, так і без розсадним способом. Стійкий до заболеваніям.Плоди круглі червоні масою до 200гр. Придатні для всіх видів переробки і смачні в свіжому вигляді.","Среднеспелый очень урожайный сорт рекомендуется для выращивания в открытом ��рунте как рассадным, так и без рассадным способом. Устойчив к заболеваниям.Плоды круглые красные массой до 200гр. Пригодны для всех видов переработки  и вкусные в свежем виде.",
59,Дубок,Дубок,"Дубок. Ранньостиглий сорт (90-95) днів. Кущ компактний 40-50см заввишки. Плоди червоного кольору м'якоть соковита, щільна, солодка масою 120гр.Устойчів до фітофторозу Урожайность7кг см / 2","Дубок. Раннеспелый сорт (90-95)дней. Куст компактный 40-50см высотой. Плоды красного цвета мякоть сочная, плотная ,сладкая массой 120гр.Устойчив к фитофторозу Урожайность7кг см/2",
60,Ефемер F1,Эфемер F1,"Ефемер F1. Ранньостиглий детермінантний гібрид, максимум висота 70см. Плоди не великі, але дуже смачні універсальні у використанні. Є можливість отримати два врожаї за сезон завдяки гарній схожості насіння.","Эфемер F1. Раннеспелый детерминантный гибрид, максимум высота 70см. Плоды не крупные , но очень вкусные универсальные в использовании. Есть возможность получить два урожая за сезон  благодаря хорошей всхожести семян.",
61,Иришка,Иришка,"Ірішка. Ультраранній високоврожайний сорт з дружнім дозріванням плодів. Вегетаційний період від сходів до початку дозрівання-87- 92 дня. Плоди яскраво червоного кольору, без зеленого плями біля основи, овальної форми, гладкі, середньою вагою 20- 25 грам. Сорт характеризується стійкістю до фітофторозу. Використовують в свіжому вигляді і для переробки.","Иришка.Ультраранний высокоурожайный сорт с дружным дозреванием плодов. Вегетационный
период от всходов до начала созревания- 87- 92 дня. Плоды ярко красного цвета, без
зеленого пятна у основания, овальной формы, гладкие,средним весом 20- 25 грамм. Сорт характеризируется устойчивостью к фитофторозу. Используют в свежем виде и для
переработки.",
62,Катюша F / 1,Катюша F /1,Катюша F / 1. Ультраскоростиглий гібрид для відкритого грунту весняних плівкових тепліц.Созреваніе плодів через 80 днів,"Катюша F /1. Ультраскороспелый гибрид для открытого грунта  весенних пленочных теплиц.Созревание плодов через 80 дней после появления всходов с дружной отдачей урожая.
Растение детерминантное, высотой 70-80 см. Соцветие простое с 5-6 плодами, массой 100-110 г. Окраска незрелого плода – белая, зрелого – ярко-красная без зеленого пятна у
плодоножки. Первое соцветие закладывается над 5-6 листом. Плоды плоско-округлые,
плотные, транспортабельные",
63,Кібіц,Кибиц,,"Кибиц.Сверхранний сорт, от высадки до сбора проходит 68 дней. Растение карликовое с
вытянутыми стеблями. Плоды красные, удлиненные, массой60г.Рекомендуются для выращивания в открытом грунте. Используют в свежем виде, для переработки, цельноплодного консервирования. На рассаду высевают в начале марта.",
64,Колгоспний,Колхозный,,"Колхозный. Популярный сорт среднего срока созревания. Растение низкорослое, полураскидистое.
Плоды круглые, ровные, красные, массой 110-120г. Вкусовые качества хорошие,урожайность высокая. Пригоден для употребления в свежем виде, консервирования и для переработки.",
65,Кременчуцький,Кременчуцький,,"Кременчуцький.Раннеспелый, универсальный, до созревания 95-105 дней. Куст компактный низкий. Плод
плоскоокруглый, красный, массой 114-132г, камер 5-10. Вкус отличный.
Транспортабельность высокая. Лежкий, относительно устойчив к болезням. На рассаду высевают в начале марта. На постоянное место высаживают во второй декаде мая .",
66,Лагідний,Лагидный,,"Лагидный. Раннеспелый сорт открытого грунта. Вегетационный период 103-120 дней. Растение
прямостоячее, высотой 50 см, средне ветвистое. Плод сливо видный, гладкий, красный, массой 62-77 г. Ценится за высокую урожайность, дружное созревание плодов, отличные вкусовые качества, пригодность к консервированию и засолу. Устойчив к бактериальной пятнистости, септориозу. Пригоден для выращивания по интенсивным технологиям",
67,Лінда,Линда,,"Линда.Низкорослый сорт, предназначен для выращивания в горшках и балконных ящиках. Также
возможно выращивание в открытом грунте. Куст высотой 25 см, много пасынков с большим
количеством плодов. Плоды массой 30-40 г, приятные на вкус. Универсального использования.
Культура тепло-и светолюбивая. Выращивать рассадой или посевом семян в грунт.",
68,Улюблений,Любимый,,"Любимый.Среднеспелый сорт для открытого грунта. От всходов до начала созревания- 100- 112 дней. Растение детерминантное, высотой 75 см. Плод красный, округлый или плоскоокруглый, мясистый, сладкий, массой 115- 230 грамм, с высоким содержанием сухих веществ. Универсального использования. Предназначен для употребления в свежемвиде и переработки на томато- продукты.",
69,Ляна,Ляна,,"Ляна.Сорт очень ранний, дружно созревающий, высокоурожайный. Плодоношение начинается через 87-93 дня после появления всходов. Растение детерминантное. Плоды округлые, плотные, красные. Масса плода 80-100 г. Вкусовые качества хорошие. Период уборки растянутый. Урожайность в открытом грунте 4,5-6 кг/кв.м. Плоды пригодны для  транспортировки на дальние расстояния.",
70,Чайка,Чайка,,"Среднеспелый сорт. Растение низкорослое, компактное. Листья прочные, темно-зелёные,
сильно гофрированные. Плоды округлые, ровные, гладкие, без зелёного пятна возле
плодоножки, массой 70-90 г. Плоды отличаются , устойчивостью к растрес-киванию, имеют очень привлекательный внешний вид и хорошие вкусовые качества",
71,Мобіл,Мобил,,"Мобил.Среднеранний сорт с вегетационным периодом 115-120 дней, высокоурожайный. Куст
компактный, среднерослый. Плоды  массой 90-120 г. Вкусовые качества высокие,транспортабельность хорошая. Обладает устойчивость к болезням. Используют для
потребления в свежем виде,изготовления томатного сока, пасты, пюре.",
72,новинка Придністров'я,Новинка Приднестровья,,"Новинка Приднестровья.Средне - спелый универсальный сорт открытого грунта . От всходов до первого сбора 120-135 дней (период плодоношения 55-68 дней). Урожайность высокая, с дружным созреванием урожая. Растение компактное,средне ветвистое, высотой 40-80см. Плод удлиненно-сливовидный, мясистый, гладкий с гранями, красный, 2-3 гнездный, массой 60 г, отличного вкуса",
73,новачок,Новичок,,"Новичок.Среднеранний сорт универсальный для открытого грунта  используется в свежем виде,
цельно плодного консервирования и приготовления томато- продуктов. От всходов до созревания 110-127 дней. Плоды дружно созревают.  В кисти 5-6плодов. Плод сливо видный, массой 70-150 г, отличаются высокими вкусовыми и товарными качествами",
74,нота,Нота,,"Нота.Сорт скороспелый, дружное созревание плодов начинается через 103-106 дней после появления всходов.Растение низкорослое. Плоды округлые, плотные, гладкие,красные, массой 95-110 г. Вкусовые качества хорошие.Транспортабельные. Ценится за хорошую завязываемость плодов при неблагоприятных условиях.",
75,ранній 83,Ранний 83,,"Ранний 83.Скороспелый сорт открытого грунта для использования в свежем виде и переработки. Может
возделываться в весенних пленочных теплицах и укрытиях. От всходов до созревания 103-110 дней. Растение небольшое, компактное. Высотой 35-60 см. плод плоско-округлый , гладкий или слаборебристый, красный, массой 90-100 г, хорошего вкуса.",
76,Ріо-Гранде,Рио-Гранде,,"Рио-Гранде. Раннеспелый, среднерослый сорт. Плоды плотные, красные, удлиненной формы, хороши в лежке, транспортабельные. Масса 80-100 г. Пригодны для потребления в свежем виде,консервирования, изготовления томатопродуктов, засолки",
77,Сан-Марцано,Сан-марцано,,"Сан-марцано.Среднеранний сорт. Период вегетации от всходов до технической спелости 110-115 дней. Растение низкорослое, высотой 40-60см. Плоды интенсивно-красного цвета, удлиненно-цилиндрической
формы, мясистые, массой 100-130г, хороших вкусовых качеств",
78,Ріо-Фуего,Рио- Фуего,,"Рио- Фуего.Раннеспелый сорт, от всходов до созревания – 110-115 дней. Предназначен для выращивания в открытом грунте и в пленочных теплицах. Плоды овально-округлые,красные, массой 100-110 г, плотные, с высоким содержанием сухих веществ. Устойчив к фузариозу,   альтернариозу, Пригоден для потребления в свежем виде, засолки и консервировании",
79,Рома VFN,Рома VFN,,"Рома VFN. Среднеранний детерминантный сорт. Вегетационный период от высадки рассады 75-80 дней.Плоды грушевидной формы массой 70 гр. интенсивно красного цвета,транспортабельные. Вкусовые качества высокие.",
80,Самий ранній,Самый ранний,,"Самый ранний.Супер -скороспелый сорт. Растение высотой до 60 см, сильное, хорошо облиственное.
Плоды круглые и плоско-округлые, весом 120-150г, хороших вкусовых качеств, стойкие крастрескиванию. Сорт также устойчив к пониженным температурам. Рекомендуется для выращивания в открытом грунте и пленочных укрытиях.",
81,Санька,Санька,,"Санька.Сорт сверхранний (85 дней), высокоурожайный. Плоды красные, плотные, массой 120-150г, без зеленого пятна у плодоножки, отличного вкуса и лежкости. Используют в свежем виде, для переработки, цельноплодного консервирования. На рассаду высевают в начале марта. На постоянное место высаживают во  второй декаде мая",
82,Санька,Санька,,"Санька. Сорт сверх ранний(85-90дней), высокоурожайный. Плоды красные,плотные, массой120-150гр без зеленого пятна у плодоножки отличный вкус и лежкость. Используется в свежем виде и во всех видах переработок.",
