id,number,title,short_description,long_description,category_id,subcategory,weight,price,image
19044,44,Аризона,44.,"44. Аризона. Томат отличается тем что , можно сажать не только рассадой ,но и семенами в открытый грунт, среднеспелый сорт,плод округлый,крепкий массой от 100- 140гр. Пригоден для всех видов переработок, очень вкусный в свежем виде. М 20:57 Мама 45,Баллада. Среднеспелый сорт для открытого грунта,высаживается на хорошо прогретые участки защищенные от холодных ветров. Плод плоско округлой формы, темно - красного цвета, массой130-180гр. Урожайный,транспортабельный, вкусный. М 21:44 Мама 46 Белый налив",19,Среднеспелый,140,,p_19044_1.jpg
01047,47,Волгоградский323,47.,47. Волгоградский,1,,,,p_01047_1.jpg
19048,48,Волгоградский 323,48.,"48. Волгоградский 323 . Базовый сорт, растение насыщенного темно зеленого окраса стеблей,очень ранний. Плод округлый слабо приплюснутый темно красного цвета,салатного назначения но и вкусные томатные соки ,кетчупы ,пасты. 15 October 2020 М 10:41 Мама 49,Волгоградский 5/",19,Салатный,,,p_19048_1.jpg
01051,51,Волгоградский  розовый,51.,"51. Волгоградский розовый. Раннеспелый сорт для выращивания в открытом грунте , вегетационный период 95-105 дней. Плоды округлые ,гладкие, розово малинового окраса, массой 80-100гр, Характеризуется дружным созреванием и хорошей транспортабельностью. 11:02 11:10 51, Волгоградский розовый. Раннеспелый сорт для выращивания в открытом грунте вегетационный период 95-100 дней Характеризуется дружным созреванием и хорошей транспортабельностью. М 12:10 Мама 12:14",1,Раннеспелый,80-100,,p_01051_1.jpg
21052,52,Шедевр Рудаса,52.,52. Шедевр Рудаса. Селекционный сорт с очень длинным сроком хранения до 4 месяцев. Плоды среднего размера с плотной кожурой красно-оранжевого цвета мякоть имеет более интенсивную окраску . Сорт очень урожайний. 12:22,21,,,,p_21052_1.jpg
01053,53,Господар,53.,"53. Господар. Сорт выведен в Украинском НИИ. Плоды крупные, плотные, красные вкусовые и товарные качества отличные. Перспективный сорт для открытого грунта так как устойчив к фитофторозу. 12:30",1,,,,p_01053_1.jpg
01054,54,Господар,54.,"54.Господар. Украинский сорт, детерминантного типа слабо облиственный. Плоды красные крупные отличного вкуса. Устойчив к грибковым заболеваниям. 12:44",1,Детерминантный,,,p_01054_1.jpg
19055,55,Дар Заволжья,55.,"55.Дар Заволжья . Среднеранний сорт, сроком созревания 110-112 дней, куст низкий, компактный. Плоды красные ,круглые со слабо выраженным кончиком. Дружное созревание , высокая транспортабельность отличают сорт. Потребление в свежем виде , засолке, переработке на томаты,пасты , соки. Сорт очень продуктивен. 12:55",19,,,,p_19055_1.jpg
01056,56,Дар Заволжья розовый,56.,"56. Дар Заволжья розовый. Среднеранний сорт ,сроком созревания 110-112 дней , куст низкий, компактный, плоды розовые, круглые со слабо выраженным кончиком, транспортабельные. Используются как в свежем виде, так и в переработанном. Сорт очень продуктивен. 13:01",1,,,,p_01056_1.jpg
01057,57,Дар Заволжья,57.,"57. Дар Заволжья. Среднеранний сорт, сроки созревания 110-112 дней, куст низкий, компактный. Плоды круглые, красные со слабо выраженным кончиком. Дружное созревание и высокая транспортабельность отличают сорт. Употребляется в свежем виде и во всех видах переработок. Сорт очень продуктивен. М 13:44 Мама",1,,,,p_01057_1.jpg
21058,58,Демидов,58.,"58. Демидов. Сорт относится к раннеспелым имеет характерную темно -зеленую окраску куста, напоминающую куст картофеля. Плоды круглой формы с незначительной ребристостью , интенсивно розового. цвета сорт достаточно устойчив к перепадам температур и влажности. Плоды сладкие очень вкусные и красивые. 13:55",21,Раннеспелый,,,p_21058_1.jpg
01059,59,Джина,59.,"59.Джина. Среднеспелый очень урожайный сорт рекомендуется для выращивания в открытом грунте как рассадным, так и без рассадным способом. Устойчив к заболеваниям.Плоды круглые красные массой до 200гр. Пригодны для всех видов переработки и вкусные в свежем виде. 14:04",1,Среднеспелый,200,,p_01059_1.jpg
21060,60,Дубок,60.,"60. Дубок. Раннеспелый сорт (90-95)дней. Куст компактный 40-50см высотой. Плоды красного цвета мякоть сочная, плотная ,сладкая массой 120гр.Устойчив к фитофторозу Урожайность7кг см/2 М 14:25 Мама",21,Раннеспелый,120000,,p_21060_1.jpg
01061,61,Эфемер F1,61.,61. Эфемер F,1,Гибрид F1,,,p_01061_1.jpg
21062,62,Иришка,62.,"62. Иришка.Ультраранний высокоурожайный сорт с дружным дозреванием плодов. Вегетационный период от всходов до начала созревания- 87- 92 дня. Плоды ярко красного цвета, без зеленого пятна у основания, овальной формы, гладкие,средним весом 20- 25 грамм. Сорт характеризируется устойчивостью к фитофторозу. Используют в свежем виде и для переработки. М 15:03 Мама Ультраранний высокоурожайный сорт с дружным дозреванием плодов. Вегетационный период от всходов до начала созревания- 87- 92 дня. Плоды ярко красного цвета, без зеленого пятна у основания, овальной формы, гладкие,средним весом 20- 25 грамм. Сорт характеризируется устойчивостью к фитофторозу. Используют в свежем виде и для переработки, засолки, цельноплодного консервирования. 15:10",21,,25,,p_21062_1.jpg
21063,63,Иришка,63.,"63. Иришка. Ультраранний, высокоуро-жайный сорт с дружным созреванием плодов. Вегетационный период 87-92 дн. Плоды ярко красного цвета овальной формы гладкие весом 25гр и больше . Сорт устойчив к фитофторозу. Используется в свежем виде пригоден для переработки. 15:18 64 Катюша F /1 . Ультраскороспелый гибрид для открытого грунта весенних пленочных теплиц.Созревание плодов через 80 дней после появления всходов с дружной отдачей урожая. Растение детерминантное, высотой 70-80 см. Соцветие простое с 5-6 плодами, массой 100-110 г. Окраска незрелого плода – белая, зрелого – ярко-красная без зеленого пятна у плодоножки. Первое соцветие закладывается над 5-6 листом. Плоды плоско-округлые, плотные, транспортабельные 15:28",21,Гибрид,100-110,,p_21063_1.jpg
21065,65,КатюшаF1Ультраскороспелый гибрид для открытого грунта  весенних пленочных теплиц,65.,"65. КатюшаF1Ультраскороспелый гибрид для открытого грунта весенних пленочных теплиц.Созревание плодов через 80 дней после появления всходов с дружной отдачей урожая. Растение детерминантное, высотой 70-80 см. Соцветие простое с 5-6 плодами, массой 100- 110 г. Окраска незрелого плода – белая, зрелого – ярко-красная/ 15:41",21,Гибрид,110,,p_21065_1.jpg
01066,66,Кибиц,66.,"66. Кибиц.Сверхранний сорт, от высадки до сбора проходит 68 дней. Растение карликовое с вытянутыми стеблями. Плоды красные, удлиненные, массой60г.Рекомендуются для выращивания в открытом грунте. Используют в свежем виде, для переработки, цельноплодного консервирования. На рассаду высевают в начале марта. М 15:56 Мама",1,,60,,p_01066_1.jpg
01067,67,Колхозный,67.,"67. Колхозный. Популярный сорт среднего срока созревания. Растение низкорослое, полураскидистое. Плоды круглые, ровные, красные, массой 110-120г. Вкусовые качества хорошие,урожайность высокая. Пригоден для употребления в свежем виде, консервирования и для переработки. 16:01",1,,110-120,,p_01067_1.jpg
01068,68,Кременчуцький,68.,"68. Кременчуцький.Раннеспелый, универсальный, до созревания 95-105 дней. Куст компактный низкий. Плод плоскоокруглый, красный, массой 114-132г, камер 5-",1,Раннеспелый,114-132,,p_01068_1.jpg
01069,69,Кременчуцький,69.,"69. Кременчуцький. Раннеспелый, универсальный, до созревания 95-105 дней. Куст компактный низкий. Плод плоскоокруглый, красный, массой 114-132г, камер 5-",1,Раннеспелый,114-132,,p_01069_1.jpg
01072,72,Линда,72.,"72. Линда.Низкорослый сорт, предназначен для выращивания в горшках и балконных ящиках. Также возможно выращивание в открытом грунте. Куст высотой 25 см, много пасынков с большим количеством плодов. Плоды массой 30-40 г, приятные на вкус. Универсального использования. Культура тепло-и светолюбивая. Выращивать рассадой или посевом семян в грунт. 16:25",1,Универсальный,30-40,,p_01072_1.jpg
19073,73,Любимый,73.,"73. Любимый.Среднеспелый сорт для открытого грунта. От всходов до начала созревания- 100- 112 дней. Растение детерминантное, высотой 75 см. Плод красный, округлый или плоскоокруглый, мясистый, сладкий, массой 115- 230 грамм, с высоким содержанием сухих веществ. Универсального использования. Предназначен для употребления в свежемвиде и переработки на томато- продукты. 16:32",19,Среднеспелый,230,,p_19073_1.jpg
01074,74,Ляна,74.,"74. Ляна.Сорт очень ранний, дружно созревающий, высокоурожайный. Плодоношение начинается через 87-93 дня после появления всходов. Растение детерминантное. Плоды округлые, плотные, красные. Масса плода 80-100 г. Вкусовые качества хорошие. Период уборки растянутый. Урожайность в открытом грунте 4,5-6 кг/кв.м. Плоды пригодны для транспортировки на дальние расстояния. 16:38",1,Детерминантный,80000-100000,,p_01074_1.jpg
01075,75,Чайка,75.,"75. Чайка.Среднеспелый сорт. Растение низкорослое, компактное. Листья прочные, темно-зелёные, сильно гофрированные. Плоды округлые, ровные, гладкие, без зелёного пятна возле плодоножки, массой 70-90 г. Плоды отличаются , устойчивостью к растрес-киванию, имеют очень привлекательный внешний вид и хорошие вкусовые качества 16:44",1,Среднеспелый,70-90,,p_01075_1.jpg
01076,76,Чайка,76.,"76. Чайка.Среднеспелый сорт. Растение низкорослое, компактное. Листья прочные, темно-зелёные, сильно гофрированные. Плоды округлые, ровные, гладкие, без зелёного пятна возле плодоножки, массой 70-90 г. Плоды отличаются выравненностью, устойчивостью к перезреванию и растрескиванию. 16:49",1,Среднеспелый,70-90,,p_01076_1.jpg
19077,77,Мобил,77.,"77. Мобил.Среднеранний сорт с вегетационным периодом 115-120 дней, высокоурожайный. Куст компактный, среднерослый. Плоды массой 90-120 г. Вкусовые качества высокие,транспортабельность хорошая. Обладает устойчивость к болезням. Используют для потребления в свежем виде,изготовления томатного сока, пасты, пюре. 16:54",19,,90-120,,p_19077_1.jpg
01078,78,Мобил,78.,"78. Мобил.Среднеранний сорт с вегетационным периодом 115-120 дней, высокоурожайный. Куст компактный, среднерослый. Плоды гладкие, массой 90-120 г. Вкусовые качества высокие, транспортабельность хорошая. Обладает устойчивость к болезням. Используют для потребления в свежем виде 16:54",1,,90-120,,p_01078_1.jpg
01079,79,Новинка Приднестровья,79.,"79.Новинка Приднестровья.Средне - спелый универсальный сорт открытого грунта . От всходов до первого сбора 120-135 дней (период плодоношения 55-68 дней). Урожайность высокая, с дружным созреванием урожая. Растение компактное,средне ветвистое, высотой 40-80см. Плод удлиненно-сливовидный, мясистый, гладкий с гранями, красный, 2-3 гнездный, массой 60 г, отличного вкуса 17:16",1,Универсальный,60,,p_01079_1.jpg
19080,80,Новичок,80.,"80. Новичок.Среднеранний сорт универсальный для открытого грунта используется в свежем виде, цельно плодного консервирования и приготовления томато- продуктов. От всходов до созревания 110-127 дней. Плоды дружно созревают. В кисти 5-6плодов. Плод сливо видный, массой 70-150 г, отличаются высокими вкусовыми и товарными качествами 17:23 81 Новичок. .Среднеранний сорт универсальный для открытого грунта используется в свежем виде,цельно плодного консервирования и приготовления томато- продуктов. От всходов до созревания 110-127 дней. Плоды дружно созревают. В кисти 5-6плодов. Плод сливо видный, массой 70-150 г, отличаются высокими вкусовыми и товарными качествами 17:28 82 Нота.Сорт скороспелый, дружное созревание плодов начинается через 103-106 дней после появления всходов.Растение низкорослое. Плоды округлые, плотные, гладкие,красные, массой 95-110 г. Вкусовые качества хорошие.Транспортабельные. Ценится за хорошую завязываемость плодов при неблагоприятных условиях. 17:36",19,Скороспелый,70-150,,p_19080_1.jpg
01083,83,Ранний 83,83.,83. Ранний,1,,,,p_01083_1.jpg
01084,84,Ранний 83,84.,84. Ранний,1,,,,p_01084_1.jpg
19085,85,Рио- Гранде,85.,"85. Рио- Гранде. Раннеспелый, среднерослый сорт. Плоды плотные, красные, удлиненной формы, хороши в лежке, транспортабельные. Масса 80-100 г. Пригодны для потребления в свежем виде,консервирования, изготовления томатопродуктов, засолки 18:29",19,Раннеспелый,80-100,,p_19085_1.jpg
21086,86,Сан- марцано,86.,"86. Сан- марцано.Среднеранний сорт. Период вегетации от всходов до технической спелости 110-115 дней. Растение низкорослое, высотой 40-60см. Плоды интенсивно-красного цвета, удлиненно-цилиндрической формы, мясистые, массой 100-130г, хороших вкусовых качеств 18:37",21,,100-130,,p_21086_1.jpg
01087,87,Рио- Фуего,87.,"87.Рио- Фуего.Раннеспелый сорт, от всходов до созревания – 110-115 дней. Предназначен для выращивания в открытом грунте и в пленочных теплицах. Плоды овально-округлые,красные, массой 100-110 г, плотные, с высоким содержанием сухих веществ. Устойчив к фузариозу, альтернариозу, Пригоден для потребления в свежем виде, засолки и консервировании М 18:58 Мама",1,Раннеспелый,100-110,,p_01087_1.jpg
01088,88,Рома VFN,88.,"88. Рома VFN. Среднеранний, детерминантный сорт. Вегетационный период от высадки рассады досбора урожая 75-80 дней. Плоды грушевидной формы, массой 60-70гр интенсивно-красные,транспортабельные, с высокими вкусовыми качествами, пригодны для потребления в свежем виде и переработки 19:12",1,Детерминантный,60-70,,p_01088_1.jpg
21089,89,Рома VFN,89.,"89. Рома VFN. Среднеранний детерминантный сорт. Вегетационный период от высадки рассады 75-80 дней.Плоды грушевидной формы массой 70 гр. интенсивно красного цвета,транспортабельные. Вкусовые качества высокие. 19:15",21,Детерминантный,70,,p_21089_1.jpg
01090,90,Самый ранний,90.,"90. Самый ранний.Супер -скороспелый сорт. Растение высотой до 60 см, сильное, хорошо облиственное. Плоды круглые и плоско-округлые, весом 120-150г, хороших вкусовых качеств, стойкие крастрескиванию. Сорт также устойчив к пониженным температурам. Рекомендуется для выращивания в открытом грунте и пленочных укрытиях. 19:21",1,Скороспелый,120-150,,p_01090_1.jpg
01091,91,Санька,91.,"91. Санька.Сорт сверхранний (85 дней), высокоурожайный. Плоды красные, плотные, массой 120-150г, без зеленого пятна у плодоножки, отличного вкуса и лежкости. Используют в свежем виде, для переработки, цельноплодного консервирования. На рассаду высевают в начале марта. На постоянное место высаживают во второй декаде мая 19:27",1,,120-150,,p_01091_1.jpg
01092,92,Санька,92.,"92. Санька. Сорт сверх ранний(85-90дней), высокоурожайный. Плоды красные,плотные, массой120-150гр без зеленого пятна у плодоножки отличный вкус и лежкость. Используется в свежем виде и во всех видах переработок. М 19:49 Мама",1,,120-150,,p_01092_1.jpg
01093,93,Союз 8 F1,93.,93. Союз 8 F,1,Гибрид F1,,,p_01093_1.jpg
01094,94,Супер стрейн,94.,"94. Супер стрейн. Сорт голландской селекции очень ранний ,куст компактный не нуждается в пасынковании. Плоды округло удлиненные с ярко красным окрасом весом 90-140гр, прекрасен в свежем виде и в соусах так как сруктура мякоти плотная и нежная.. 20:05",1,,90-140,,p_01094_1.jpg
19095,95,Этот томат  средних сроков созревания  растение компактное плоды плоскоокруглые массой 90-150гр,95.,95. Этот томат средних сроков созревания растение компактное плоды плоскоокруглые массой 90-150гр,19,,90-150,,p_19095_1.jpg
01096,96,Факел,96.,"96. Факел. Среднеспелый сорт, плоды созревают на 112-127 день после появления всходов. Растение компактное, высотой 33-56 см. Плоды округлые, гладкие, красные, массой 60-90 г, число гнезд 4-",1,Среднеспелый,60-90,,p_01096_1.jpg
01097,97,Факел,97.,"97. Факел. Среднеспелый сорт,плоды созревают на 112-127 день после появления всходов. Растение компактное 33-56 см. Плоды округлые,красные,сладкие массой 60-90 гр. Вкусовые качества хорошие. Сорт ценится за высокую урожайность и дружное созревание. Используется для потребления в свежем виде,изготовлении соков, пасты а также для засолки М 21:59 Мама",1,Среднеспелый,60-90,,p_01097_1.jpg
01098,98,Долгохранящийся,98.,"98. Долгохранящийся. Среднепоздний сорт ,среднерослый пригоден для выращивания в открытом грунте , влаго- устойчив не боится перепадов температур. Плоды плотные ,округло плоские, с плотной кожурой масса плода достигает от 120до 300гр ,окрас плода алый с оранжевым отливом.Собранные в октябре плоды могут хранится до нового года и более. 22:04",1,,300,,p_01098_1.jpg
19099,99,Президент,99.,"99.Президент.Ранний,высокоурожайный гибрид. Созревает через 68-70 дней после высадки рассады.Растение мощное. Плоды плоскоокруглые, массой 200-220 г, плотные,транспортабельные, отличных вкусовых качеств. Предназначены для потребления в свежем виде и переработки, особенно вкусно на томатный сок. М 22:28 Мама",19,Гибрид,200-220,,p_19099_1.jpg
33100,100,Бедуин,100.,"100. Бедуин. Средне-спелый высокорослый индетерминантного типа,салатно -консервный сорт. Плоды грушевидной формы,весом от 90 до 110гр.Окраска зрелого плода буровато -коричневая. Очень вкусный сорт. VG 22:35 Vladimir Gogunsky 🙂 М 22:36 Мама Ага 100 VG 22:37 Vladimir Gogunsky 👍 М 22:37 Мама Завтра начну огурцы. 22:39 Все отдыхаю . Пока ,пока. VG 22:44 Vladimir Gogunsky Спокойной ночи М 22:47 Мама И вам спокойной ночи. 17 October 2020 М 09:36 Мама",33,Салатный,110,,p_33100_1.jpg
01101,101,Аист,101.,"101. Аист. Среднеспелый сорт. Длинна основного стебля 2,20-2,.50 м. Разветвленность умеренная,длинна зеленца 12-15с . зеленец темно-зеленый со слабо выраженными светлыми полосками пчело-,опыляемый, хрустящий , без горечи. М 10:01 Мама",1,Среднеспелый,,,p_01101_1.jpg
01102,102,Алексеич F1,102.,102. Алексеич F,1,Гибрид F1,,,p_01102_1.jpg
01103,103,Аладин F1,103.,103.Аладин F,1,Гибрид F1,,,p_01103_1.jpg
01104,104,Амур F1,104.,104. Амур F,1,Гибрид F1,,,p_01104_1.jpg
01106,106,Анулька F1,106.,106. Анулька F,1,Гибрид F1,,,p_01106_1.jpg
01107,107,Астерикс F1,107.,107.Астерикс F,1,Гибрид F1,,,p_01107_1.jpg
01108,108,Атлантис F1,108.,108.Атлантис F,1,Гибрид F1,,,p_01108_1.jpg
01109,109,Аякс F1,109.,109. Аякс F,1,Гибрид F1,,,p_01109_1.jpg
01110,110,Береговой,110.,"110. Береговой.Среднеранний пчело- опыляемый сорт открытого грунта. Предназначен для засола и консервирования. Вплодоношение вступает на 47-51 день от всходов. Длина главного стебля 1,6-2,3 м. Плод длиной 10-12 см,диаметром 3-4 см, массой около 100 г, отличного вкуса. Сорт устойчив к ложной мучнистой росе. 15:09",1,,100,,p_01110_1.jpg
21111,111,Белый ангел,111.,"111. Белый ангел.Среднеранний гибрид. Вегетационный период от всходов до массового плодоношения 50-55 дней. Плоды крупные, кремово-белой окраски, удлиненно-овальной формы, длиной 18-20см, хороших вкусовых качеств.Гибрид отличается необыкновенным цветом плодов. 15:20",21,Гибрид,,,p_21111_1.jpg
01112,112,БригадныйF1,112.,112. БригадныйF,1,Гибрид F1,,,p_01112_1.jpg
01113,113,Беляевский,113.,"113.Беляевский.Создан для выращивания в закрытом грунте, в частности в весенний и весенне- летний периоды в пленочных теплицах. Кроме того, его можно эффективновыращивать в открытом грунте с использованием общепринятых технологий. Плодам этого гибрида присущи высокие товарные качества. 15:52",1,Гибрид,,,p_01113_1.jpg
21114,114,Бочковий,114.,"114. Бочковий.Среднеспелый (53-57 дней), пчелоопыляемый сорт для открытого грунта. Растение сильнорослое,плетистое, со смешанным цветением. Зеленцы крупнобугорчатые, ярко-зелёные с восковым налётом,длиной 11-13 см, плотные, хрустящие. М 16:16 Мама",21,Среднеспелый,,,p_21114_1.jpg
01115,115,Весела компаниF1,115.,115.Весела компаниF,1,Гибрид F1,,,p_01115_1.jpg
01116,116,Виноградная гроздь   Раннеспелый гибрид от всходов до первого сбора 42 - 45 дней формирующий пучковую завязь плодов,116.,116. Виноградная гроздь Раннеспелый гибрид от всходов до первого сбора 42 - 45 дней формирующий пучковую завязь плодов,1,Гибрид,,,p_01116_1.jpg
08117,117,Верныедрузья,117.,"117.Верныедрузья.Ультраскороспелый, пчело-опыляемый гибрид для открытого грунта и пленочных укрытий. Период вегетации 37-39 дней. Салатного и консервного назначения. В пазухе листа закладывается по 2-7 завязей. Каждоерастение дает до 47 овально-цилиндрических плодов, длиной 8-10 см, без горечи, массой 80-115 г. 16:43",8,Гибрид,80-115,,p_08117_1.jpg
01118,118,Владко,118.,"118. Владко.Среднеспелый, высокоурожайный гибрид с отличными вкусовыми качествами. Используется в свежем виде, для соления и консервации. Вегетационный период от всходов до начала плодоношения – 45-50 дней.Предназначен для выращивания в открытом грунте. 16:47",1,Гибрид,,,p_01118_1.jpg
01119,119,Водограй,119.,"119. Водограй. Скороспелый гибрид, созревает на 35 день после появления всходов. Отличается высокой продуктивностью,дружным созреванием плодов, пригодных к засолке и консервированию, устойчивостью растений к засухе и болезням. 16:52",1,Гибрид,,,p_01119_1.jpg
01120,120,Всем на зависть,120.,"120.Всем на зависть. Высокоурожайный, скороспелый, корнишонный гибрид для открытого грунта и весенних теплиц.В узлах формируется 3-6 и более завязей. Окраска - красивая, ярко-зеленая. Зеленцы - белошипые. М 17:11 Мама",1,Гибрид,,,p_01120_1.jpg
